Mission ID,Mission Path,Success (PRED),Domain,Total Goals,Type quantity,Success (PLAN),CPU time,Total time,Total Distance
82,"Go to picture ['base_1', 'region_6'] 441.054
Take Image ['region_6'] 285.714
Go to picture ['region_6', 'region_1'] 668.243
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_2'] 622.434
",0,journal,3,2,1,0.02,2304.1589999999997,8064.556499999999
83,"Go to picture ['base_1', 'region_6'] 441.054
Take Image ['region_6'] 285.714
Go to picture ['region_6', 'region_1'] 668.243
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_3'] 1174.531
",0,journal,3,2,1,0.04,2856256,9996.895999999999
84,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_6'] 668.243
Take Image ['region_6'] 285.714
Go to base ['region_6', 'base_4'] 193.845
",0,journal,3,2,1,0.04,2052.3819999999996,7183.336999999999
85,"Go to picture ['base_1', 'region_7'] 723.294
Take Image ['region_7'] 285.714
Go to picture ['region_7', 'region_1'] 540.766
Take Image ['region_1'] 285.714
",1,journal,2,1,1,0.02,1835.4879999999998,6424208
86,"Go to picture ['base_1', 'region_7'] 723.294
Take Image ['region_7'] 285.714
Go to picture ['region_7', 'region_1'] 540.766
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_1'] 617.866
",0,journal,3,2,1,0.02,2454354,8590239
87,"Go to picture ['base_1', 'region_7'] 723.294
Take Image ['region_7'] 285.714
Go to picture ['region_7', 'region_1'] 540.766
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_2'] 622.434
",0,journal,3,2,1,0.02,2458.9219999999996,8606.226999999999
88,"Go to picture ['base_1', 'region_7'] 723.294
Take Image ['region_7'] 285.714
Go to picture ['region_7', 'region_1'] 540.766
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_3'] 1174.531
",0,journal,3,2,1,0.02,3011019,10538.566499999999
89,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_7'] 540.766
Take Image ['region_7'] 285.714
Go to base ['region_7', 'base_4'] 214.180
",1,journal,3,2,1,0.02,1945.24,6808.34
90,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
Go to picture ['region_8', 'region_1'] 527.180
Take Image ['region_1'] 285.714
",1,journal,2,1,1,0.02,1925.9389999999999,6740.786499999999
91,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
Go to picture ['region_8', 'region_1'] 527.180
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_1'] 617.866
",0,journal,3,2,1,0.02,2544805,8906.8175
92,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
Go to picture ['region_8', 'region_1'] 527.180
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_2'] 622.434
",0,journal,3,2,1,0.04,2549.3729999999996,8922.805499999999
93,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
Go to picture ['region_8', 'region_1'] 527.180
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_3'] 1174.531
",0,journal,3,2,1,0.04,3101.47,10855.144999999999
94,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_8'] 527.180
Take Image ['region_8'] 285.714
Go to base ['region_8', 'base_4'] 356.080
",0,journal,3,2,1,0.04,2073.5539999999996,7257.4389999999985
95,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_9'] 905.309
Take Image ['region_9'] 285.714
",0,journal,2,1,1,0.02,2094603,7331.110500000001
